location,lon,lat,dynasty,year,author,title,lines,source_file
凉州,102.64,37.93,唐,720,王翰,涼州詞二首 一,葡萄美酒夜光杯，欲飲琵琶馬上催。 | 醉臥沙場君莫笑，古來征戰幾人回。,poet.tang.7000.json
凉州,102.64,37.93,唐,720,王翰,涼州詞二首 二,秦中花鳥已應闌，塞外風沙猶自寒。 | 夜聽胡笳折楊柳，教人意氣憶長安。,poet.tang.7000.json
凉州,102.64,37.93,唐,727,王昌齡,相和歌辭 從軍行,向夕臨大荒，朔風軫歸慮。 | 平沙萬里餘，飛鳥宿何處？ | 虜騎獵長原，翩翩傍河去。 | 邊聲搖白草，海氣生黃霧。 | 百戰苦風塵，十年履霜露。 | 雖投定遠筆，未坐將軍樹。 | 早知行路難，悔不理章句。,poet.tang.1000.json
凉州,102.64,37.93,唐,727,王昌齡,相和歌辭 從軍行 二,烽火城西百尺樓，黃昏獨上海風秋。 | 更吹橫笛關山月，誰解金閨萬里愁。,poet.tang.1000.json
凉州,102.64,37.93,唐,727,王昌齡,相和歌辭 從軍行 三,琵琶起舞換新聲，總是關山舊別情。 | 撩亂邊愁彈不盡，高高秋月下長城。,poet.tang.1000.json
凉州,102.64,37.93,唐,727,王昌齡,相和歌辭 從軍行 四,青海長雲暗雪山，孤城遙望雁門關。 | 黃沙百戰穿金甲，不破樓蘭終不還。,poet.tang.1000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行二首 一,向夕臨大荒，朔風軫歸慮。 | 平沙萬里餘，飛鳥宿何處？ | 虜騎獵長原，翩翩傍河去。 | 邊聲搖白草，海氣生黃霧。 | 百戰苦風塵，十年履霜露。 | 雖投定遠筆，未坐將軍樹。 | 早知行路難，悔不理章句。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行二首 二,秋草馬蹄輕，角弓持弦急。 | 去爲龍城戰，正值胡兵襲。 | 軍氣橫大荒，戰酣日將入。 | 長風金鼓動，白露鐵衣濕。 | 四起愁邊聲，南庭時佇立。 | 斷蓬孤自轉，寒雁飛相及。 | 萬里雲沙漲，平原冰霰澀。 | 惟聞漢使還，獨向刀環泣。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行,大將軍出戰，白日暗榆關。 | 三面黃金甲，單于破膽還。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 一,烽火城西百尺樓，黃昏獨上海風秋。 | 更吹羌笛關山月，無那金閨萬里愁。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 二,琵琶起舞換新聲，總是關山舊別情。 | 撩亂邊愁聽不盡，高高秋月照長城。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 三,關城榆葉早疎黃，日暮雲沙古戰場。 | 表請回軍掩塵骨，莫教兵士哭龍荒。,poet.tang.6000.json
